Ident      : Friedri     
Location   : CN test
Serial No  : 00
Sam Rate: 1 s
  Slowest  : 1 s
  Fa   : 2 re Re : 6 ate me;CN-SWU;CN-SWL;CN-LWU;CN-LWL;CN-TempK;CN-TempC;CNSWU#B7;CNSWL#B;CNU#B;CN#B;CN00;CN#B;CN;CN#B7
Kind;AI;AI;AI;AI;AI;CA;CA;CA;CA;CA;CA;CA;CA;CA
Unit; mm; mm; mm; mm; °K;°C;W;W;W;w;%;m2;m2;
08.10.2017 00:00:00;-0.28;-0.21;-0.64;-0.29;288.94;15.79;-22.60;-18.70;349.75;359.84;82.76;-3.90;-10.08;-13.98;
08.10.2017 00:01:00;-0.27;-0.20;-0.63;-0.29;288.95;15.80;-22.25;-17.70;350.26;359.57;79.58;-4.55;-9.31;-13.86;
08.10.2017 00:02:00;-0.30;-0.21;-0.64;-0.29;288.92;15.77;-23.93;-18.63;349.53;359.86;77.85;-5.30;-10.34;-15.64;
08.10.2017 00:03:00;-0.30;-0.21;-0.63;-0.29;288.93;15.78;-24.57;-18.31;350.13;360.01;74.55;-6.26;-9.89;-16.15;
08.10.2017 00:04:00;-0.32;-0.21;-0.62;-0.29;288.91;15.76;-25.69;-18.35;350.69;359.96;71.44;-7.34;-9.28;-16.61;
08.10.2017 00:05:00;-0.33;-0.21;-0.62;-0.28;288.85;15.70;-26.73;-18.63;350.71;360.42;69.73;-8.09;-9.71;-17.81;
08.10.2017 00:06:00;-0.35;-0.22;-0.57;-0.28;288.76;15.61;-27.97;-18.85;353.74;360.06;67.39;-9.12;-6.33;-15.45;
08.10.2017 00:07:00;-0.34;-0.22;-0.55;-0.28;288.71;15.56;-27.77;-18.98;355.01;360.00;68.35;-8.79;-4.99;-13.78;
08.10.2017 00:08:00;-0.33;-0.21;-0.53;-0.27;288.69;15.54;-27.05;-18.63;355.94;360.44;68.87;-8.42;-4.50;-12.92;
08.10.2017 00:09:00;-0.32;-0.20;-0.54;-0.27;288.68;15.53;-26.31;-17.82;355.06;360.42;67.71;-8.50;-5.36;-13.86;
08.10.2017 00:10:00;-0.33;-0.21;-0.56;-0.27;288.61;15.46;-26.94;-18.04;353.47;360.30;66.97;-8.90;-6.83;-15.73;
08.10.2017 00:11:00;-0.32;-0.20;-0.58;-0.27;288.63;15.48;-26.12;-17.36;352.51;360.40;66.45;-8.76;-7.89;-16.65;
08.10.2017 00:12:00;-0.32;-0.20;-0.58;-0.27;288.64;15.49;-25.88;-17.49;352.16;360.39;67.59;-8.39;-8.24;-16.63;
08.10.2017 00:13:00;-0.32;-0.20;-0.59;-0.27;288.65;15.50;-25.80;-17.75;351.68;360.28;68.79;-8.06;-8.60;-16.66;
